id,reference,recherche_ref,type_bien,titre,ville,code_postal,date_publication,prix,surface,nb_pieces,meuble,adresse,latitude,longitude,jardin,contact.nom,contact.telephone,particulier,charges_mensuelles,nb_chambres,etage,description,lumineux,calme,contact.agence,exclusivite,photos,dpe,annee_construction,contact.email,surface_m2,terrasse,balcon,ascenseur,cave
291e0422-f50b-42da-8410-5db5180f2838,AN-JTMFMB5O,REC-ZS4F1KCW,Maison,Maison à rafraîchir à Toulouse,Toulouse,31000,2026-05-18,292936,227,8,,,,,True,,0947895310,,,5,RDC,"Maison à rafraîchir de 227 m² situé à Toulouse. Cave et parking inclus. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",,True,,False,,,1850,contact73@example.com,,,,,
4faa988f-dbee-47b2-8387-74919ea57ffc,AN-2O2P5LJH,REC-ZS4F1KCW,Maison,Maison atypique à Toulouse,Toulouse,31000,2025-06-04,308205,204,10,,,43.5971,1.418258,True,Jean Moreau,,,,0,3,"Maison de standing de 204 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,Clé en Main Immo,,,,1924,jean.moreau97@example.com,,,,,
92d0d54c-bc97-4aa2-aa9b-94413c14b7de,AN-GZZRXSNO,REC-ZS4F1KCW,Maison,Maison atypique à Toulouse,Toulouse,31000,23 juin 2026,239238 €,183,6,False,,,,True,,0719998818,,,5,4,"Maison avec vue dégagée de 183 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,Nid Doré,True,,G,,contact89@example.com,,,,,
2fc1d476-dde9-495a-8715-0a6549b1b41b,AN-9RN1PIYZ,REC-ZS4F1KCW,Maison,Maison lumineux à Toulouse,Toulouse,31000,1786881970,246697,151,10,,108 rue de la République,,,True,Sophie Dubois,0148666620,,,,1,"Maison en excellent état de 151 m² situé à Toulouse. Cave et parking inclus. Proche de toutes commodités, transports et écoles. À visiter sans tarder. Travaux à prévoir.",,True,,,,B,1909,sophie.dubois25@example.com,,,,,
6cff0924-0383-494c-bf43-54f3d68398e7,AN-7GAIQMCH,REC-ZS4F1KCW,Maison,Maison atypique à Toulouse,Toulouse,31000,2025-05-10T11:29:10,313555,162,6,False,,43.577883,1.428549,True,,0374139181,,60.76,2,,"Maison avec vue dégagée de 162 m² situé à Toulouse. Cave et parking inclus. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,,,,A,,contact13@example.com,,,,,
28f7c40c-4d36-4530-ba8a-ff644c0e7be5,AN-C7S3TZKV,REC-ZS4F1KCW,Maison,Maison atypique à Toulouse,Toulouse,31000,04-14-2025,386211 €,234,7,,,43.652582,1.461511,True,Jean Roche,0814700908,,,,5,"Maison charmant de 234 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,,,,,,,,,,,,
0bb0be23-3595-498f-b32a-a20082ae2f7e,AN-ACMFKLAS,REC-ZS4F1KCW,Maison,Maison avec vue dégagée à Toulouse,Toulouse,31000,25 août 2025,296717,,6,,,,,,Marie Fontaine,0380917462,,,4,,"Maison spacieux de 154 m² situé à Toulouse. Cave et parking inclus. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,,Nid Doré,,,,,marie.fontaine5@example.com,154,,,,
58dfa150-d494-40e1-92dc-4784f085a3d0,AN-DVU84JQX,REC-ZS4F1KCW,Maison,Maison à rafraîchir à Toulouse,Toulouse,31000,1755111790,296103,203,9,True,,43.570569,1.460929,True,,0497211681,True,,,,"Maison spacieux de 203 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,,,,,,,,,,,
c13dafa8-a9fc-4ec0-b8ff-5d34bee50726,AN-LBJ9MSZC,REC-ZS4F1KCW,Maison,Maison au calme à Toulouse,Toulouse,31000,2026-06-29T08:06:10,214259,148,9,True,171 rue Pasteur,43.556746,1.448519,True,Karim Faure,,,,,,,True,True,,True,https://exemple-images.test/AN-LBJ9MSZC/1.jpg; https://exemple-images.test/AN-LBJ9MSZC/2.jpg; https://exemple-images.test/AN-LBJ9MSZC/3.jpg; https://exemple-images.test/AN-LBJ9MSZC/4.jpg; https://exemple-images.test/AN-LBJ9MSZC/5.jpg,,,karim.faure74@example.com,,,,,
a0335e55-d526-4d70-914c-b04274fd85bd,AN-M6TDAVNU,REC-ZS4F1KCW,Maison,Maison au calme à Toulouse,Toulouse,31000,2024-08-27,335149,193,9,,,,,True,Marc Faure,0619089954,,,,,"Maison avec vue dégagée de 193 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,Nid Doré,True,https://exemple-images.test/AN-M6TDAVNU/1.jpg; https://exemple-images.test/AN-M6TDAVNU/2.jpg,,,,,,,,
c0727fed-588c-49a8-ba86-9f946eb872fb,AN-XOVZX0HK,REC-ZS4F1KCW,Maison,Maison de standing à Toulouse,Toulouse,31000,2026-03-08T03:40:10,356247,219,9,True,,,,True,,0531280969,,,3,5,"Maison rénové de 219 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",,True,,True,,F,,,,,,,
4afbe015-ab3e-446a-9abb-f41e6ddacdca,AN-HFZ8PWDQ,REC-ZS4F1KCW,Maison,Maison spacieux à Toulouse,Toulouse,31000,17/08/2025,270958,214,6,,,43.560165,1.402785,True,Julie Roche,,,85.63,,,,True,True,,False,,A,,julie.roche97@example.com,,,,,
21438268-d9a4-47d7-b4e4-c602496a9450,AN-DS33ZF74,REC-ZS4F1KCW,Maison,Maison lumineux à Toulouse,Toulouse,31000,29 juillet 2025,346481 €,252,7,,,,,True,,0968171078,True,,,3,"Maison spacieux de 252 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,,Clé en Main Immo,,,,,contact90@example.com,,,,,
39723b5a-dcf6-4aa3-bfa6-5dc6a459c330,AN-L4Q32XEI,REC-ZS4F1KCW,Maison,Maison de standing à Toulouse,Toulouse,31000,1750790830,234791 €,,10,,,,,True,Karim Roche,0957179604,,,0,1,"Maison lumineux de 272 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder. Travaux à prévoir.",True,True,Century Habitat,True,,,,,272,,,,
728b510b-1b5c-463b-ad05-f4f485eb9442,AN-LMWTY5SV,REC-ZS4F1KCW,Maison,Maison rénové à Toulouse,Toulouse,31000,11/09/2024,386202,256,8,,,,,True,,,True,103.76,5,,"Maison en excellent état de 256 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,Toit & Vous,,,,1938,contact8@example.com,,,,,
b925bc12-8d3e-4178-82f8-3fdc8ab7ad21,AN-YY6LOP1T,REC-ZS4F1KCW,Maison,Maison au calme à Toulouse,Toulouse,31000,2026-08-11T20:42:10,324149,273,6,,,,,True,Luc Fontaine,0548489346,True,,1,RDC,"Maison charmant de 273 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,,,,,,1924,,,,,,
48b509ae-ba4c-4c6c-bf0a-ed17bc5bef96,AN-3ET1T1GW,REC-ZS4F1KCW,Maison,Maison atypique à Toulouse,Toulouse,31000,1778897770,388128,158,6,,,43.565911,1.4205,True,,0835655335,True,,3,,"Maison au calme de 158 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,,ImmoPlus,,https://exemple-images.test/AN-3ET1T1GW/1.jpg; https://exemple-images.test/AN-3ET1T1GW/2.jpg,A,,,,,,,
2c67d6af-b073-487f-93a1-cbcb1b062623,AN-4FPZYMB6,REC-ZS4F1KCW,Maison,Maison spacieux à Toulouse,Toulouse,31000,11-03-2024,316528,267,8,,,43.651815,1.472246,True,,,,90.66,4,1,"Maison au calme de 267 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder. Travaux à prévoir.",True,True,,,https://exemple-images.test/AN-4FPZYMB6/1.jpg; https://exemple-images.test/AN-4FPZYMB6/2.jpg; https://exemple-images.test/AN-4FPZYMB6/3.jpg; https://exemple-images.test/AN-4FPZYMB6/4.jpg; https://exemple-images.test/AN-4FPZYMB6/5.jpg,,,,,,,,
28d10798-2b69-4e42-8551-4df09fd1e9b8,AN-04O1T51P,REC-ZS4F1KCW,Maison,Maison spacieux à Toulouse,Toulouse,31000,2026-06-02T04:11:10,355807,,9,,193 place de la Mairie,43.598274,1.48835,,Sophie Moreau,0058600928,,102.61,3,4,"Maison à rafraîchir de 188 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,Clé en Main Immo,,,B,,,188,,,,
7289b3c4-445f-4ea8-8310-6e2ac4ef2e16,AN-ABBNCYAF,REC-ZS4F1KCW,Maison,Maison atypique à Toulouse,Toulouse,31000,8 octobre 2025,400919,224,10,True,135 boulevard Gambetta,,,True,Marie Dubois,0522412826,True,,,,"Maison rénové de 224 m² situé à Toulouse. Cave et parking inclus. Proche de toutes commodités, transports et écoles. À visiter sans tarder. Travaux à prévoir.",,True,,,,,1877,,,,,,
c53d076f-5b7b-41fd-9d23-7566831cda2d,AN-P1T4FR35,REC-ZS4F1KCW,Maison,Maison à rafraîchir à Toulouse,Toulouse,31000,02-18-2025,222153,261,8,,,,,,,,,,,RDC,"Maison rénové de 261 m² situé à Toulouse. Cave et parking inclus. Proche de toutes commodités, transports et écoles. À visiter sans tarder. Travaux à prévoir.",True,True,,,https://exemple-images.test/AN-P1T4FR35/1.jpg; https://exemple-images.test/AN-P1T4FR35/2.jpg,,,,,,,,
6f137019-462e-4001-b4bc-04a91c64ef4e,AN-9LMA6FE5,REC-ZS4F1KCW,Maison,Maison spacieux à Toulouse,Toulouse,31000,2026-07-03,261115,205,7,,158 rue Victor Hugo,,,True,Marc Moreau,0635018356,,,4,1,"Maison lumineux de 205 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,Clé en Main Immo,,,,,,,,,,
d620f5ac-083e-45b0-afed-4bb9494d7217,AN-Z8EH79RT,REC-ZS4F1KCW,Maison,Maison atypique à Toulouse,Toulouse,31000,08-31-2024,281883,237,10,True,35 chemin des Vignes,,,True,,,,,,,"Maison au calme de 237 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,,False,,,,contact96@example.com,,,,,
1c48916c-1019-4bfa-bb93-6d87f0f75831,AN-CMOWKF49,REC-ZS4F1KCW,Maison,Maison lumineux à Toulouse,Toulouse,31000,09-07-2024,229859,251,6,,52 rue Jean Jaurès,,,True,,0905667656,,,4,4,,,True,Nid Doré,True,https://exemple-images.test/AN-CMOWKF49/1.jpg; https://exemple-images.test/AN-CMOWKF49/2.jpg,,,,,,,,
3d2747c8-df83-457d-984b-5063df70d4a5,AN-H7W7DZN1,REC-ZS4F1KCW,Maison,Maison de standing à Toulouse,Toulouse,31000,2026-05-27T00:46:10,287200,168,6,,156 place de la Mairie,,,True,Claire Perrin,0025387075,,,0,,"Maison avec vue dégagée de 168 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,,True,https://exemple-images.test/AN-H7W7DZN1/1.jpg; https://exemple-images.test/AN-H7W7DZN1/2.jpg; https://exemple-images.test/AN-H7W7DZN1/3.jpg; https://exemple-images.test/AN-H7W7DZN1/4.jpg,,,claire.perrin82@example.com,,,,,
feb45152-2f1c-4e5a-ab99-dae59c460a63,AN-9XKZZ5RP,REC-ZS4F1KCW,Maison,Maison au calme à Toulouse,Toulouse,31000,05-12-2025,307357,,9,False,197 chemin des Vignes,43.607661,1.473267,True,Marie Bernard,0294043197,,,,,"Maison lumineux de 183 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,,True,,,,,183,,,,
3c49ed8c-935d-4cd7-972a-f293b7346dbd,AN-D8QDCYQQ,REC-ZS4F1KCW,Maison,Maison atypique à Toulouse,Toulouse,31000,2025-12-11T14:48:10,396814,251,8,,,,,True,,,,94.66,,0,"Maison à rafraîchir de 251 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,,,,D,,,,,,,
0ca1887c-3cc8-4593-bbdd-3da295bfef8a,AN-OJ7YZ9SD,REC-ZS4F1KCW,Maison,Maison au calme à Toulouse,Toulouse,31000,14 mai 2025,336972,,8,False,169 rue Jean Jaurès,,,True,Luc Perrin,0330450259,,123.63,,,"Maison lumineux de 203 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder. Travaux à prévoir.",,True,ImmoPlus,False,,,,,203,,,,
eec3c84e-8ddf-4170-a5b7-4f47bae04ea2,AN-XUD1WR9K,REC-ZS4F1KCW,Maison,Maison charmant à Toulouse,Toulouse,31000,1 janvier 2025,310946,281,10,,,43.575311,1.403904,True,,0547985941,,378.01,,,"Maison en excellent état de 281 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,,True,,E,,,,,,,
54019636-5a9b-4d2d-8939-b3bfb51f852a,AN-5VZP9RVS,REC-ZS4F1KCW,Maison,Maison avec vue dégagée à Toulouse,Toulouse,31000,2025-10-14,278863,257,10,False,76 rue Jean Jaurès,43.561991,1.470542,True,Luc Roche,0135898948,,,0,,"Maison spacieux de 257 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,,,False,https://exemple-images.test/AN-5VZP9RVS/1.jpg,,,,,,,,
5e3a3ec9-fb61-4b8f-8c7b-8a224e5550b9,AN-X340HIW0,REC-ZS4F1KCW,Maison,Maison en excellent état à Toulouse,Toulouse,31000,1733867170,359879,254,8,,139 chemin des Vignes,,,True,,,True,,,,"Maison en excellent état de 254 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,ImmoPlus,,,A,,,,,,,
696fc600-03fb-4c8a-be04-9e6e1701c50b,AN-3XHM4A8Y,REC-ZS4F1KCW,Maison,Maison à rafraîchir à Toulouse,Toulouse,31000,2026-07-24T11:45:10,295076,195,9,False,4 impasse des Lilas,,,True,,0915739643,,,,,"Maison charmant de 195 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,,,,F,,,,,,,
a995a1ce-5ccb-49e2-a99b-41c91c4d8612,AN-VFP5SOQ6,REC-ZS4F1KCW,Maison,Maison spacieux à Toulouse,Toulouse,31000,08/12/2024,315602,157,10,,,,,True,,0125144943,,,5,,,True,True,Clé en Main Immo,False,https://exemple-images.test/AN-VFP5SOQ6/1.jpg; https://exemple-images.test/AN-VFP5SOQ6/2.jpg; https://exemple-images.test/AN-VFP5SOQ6/3.jpg,,,,,,,,
11e81cf1-9aab-4861-8931-15223cf5b944,AN-0E5LXRA8,REC-ZS4F1KCW,Maison,Maison rénové à Toulouse,Toulouse,31000,09-20-2024,287266,150,8,False,99 rue Victor Hugo,,,True,Claire Moreau,0030279096,,,,,"Maison charmant de 150 m² situé à Toulouse. Cave et parking inclus. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,,True,https://exemple-images.test/AN-0E5LXRA8/1.jpg; https://exemple-images.test/AN-0E5LXRA8/2.jpg; https://exemple-images.test/AN-0E5LXRA8/3.jpg; https://exemple-images.test/AN-0E5LXRA8/4.jpg,E,,,,,,,
a613e5f6-f58e-438e-9740-8cb60c0d481a,AN-E46DYTLD,REC-ZS4F1KCW,Maison,Maison à rafraîchir à Toulouse,Toulouse,31000,03-30-2025,291443,275,6,,62 avenue des Champs,43.584917,1.477709,True,,0079720266,,,2,,"Maison à rafraîchir de 275 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,,,https://exemple-images.test/AN-E46DYTLD/1.jpg; https://exemple-images.test/AN-E46DYTLD/2.jpg; https://exemple-images.test/AN-E46DYTLD/3.jpg; https://exemple-images.test/AN-E46DYTLD/4.jpg; https://exemple-images.test/AN-E46DYTLD/5.jpg,,,,,,,,
35a89c38-acf1-472d-a7a1-657fb9b76822,AN-1VUM1TK9,REC-ZS4F1KCW,Maison,Maison avec vue dégagée à Toulouse,Toulouse,31000,21/08/2025,247303,157,8,,138 quai de la Loire,,,,,,,,4,dernier étage,"Maison charmant de 157 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,Clé en Main Immo,,,A,,contact29@example.com,,,,,
553773eb-2d4d-4301-8bcf-76bf29faf932,AN-71IMQVX2,REC-ZS4F1KCW,Maison,Maison atypique à Toulouse,Toulouse,31000,01-18-2026,230021,280,9,,,,,True,Claire Bernard,0681577780,,,,,"Maison rénové de 280 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,Toit & Vous,,,,,claire.bernard48@example.com,,,,,
fc5ca588-961d-4f28-af9e-4f6c2c272e3a,AN-6HVRBDFU,REC-ZS4F1KCW,Maison,Maison au calme à Toulouse,Toulouse,31000,18/11/2024,287666,274,6,,61 chemin des Vignes,43.647953,1.490375,True,Karim Dubois,0386256954,,,3,,"Maison à rafraîchir de 274 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder. Travaux à prévoir.",True,True,,,https://exemple-images.test/AN-6HVRBDFU/1.jpg; https://exemple-images.test/AN-6HVRBDFU/2.jpg; https://exemple-images.test/AN-6HVRBDFU/3.jpg; https://exemple-images.test/AN-6HVRBDFU/4.jpg,,,karim.dubois55@example.com,,,,,
147f2728-c840-4014-9ecd-1a876544c4b6,AN-R7OK5CCX,REC-ZS4F1KCW,Maison,Maison lumineux à Toulouse,Toulouse,31000,2026-05-28,328181,248,9,True,,43.632123,1.489471,True,,0712327797,,,,5,"Maison spacieux de 248 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,,,,,,,contact62@example.com,,,,,
8af35d9c-4e64-4cc5-9af2-8de9f38dcd01,AN-Q5H4PMJR,REC-ZS4F1KCW,Maison,Maison charmant à Toulouse,Toulouse,31000,2024-12-17,205130,276,6,True,,43.582389,1.418176,True,Jean Bernard,,,,1,,"Maison atypique de 276 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,ImmoPlus,False,,,,jean.bernard18@example.com,,,,,
f75ddfcc-c277-4e5e-b6a4-217ec130f159,AN-41LL8A2F,REC-ZS4F1KCW,Maison,Maison spacieux à Toulouse,Toulouse,31000,23 octobre 2024,384653,176,9,,,,,,,0522060866,,,1,,"Maison atypique de 176 m² situé à Toulouse. Cave et parking inclus. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,Provence Immobilier,,,,1912,,,,,,
3d1c4415-c16a-4892-b852-7600e82b1fe9,AN-51HPQMJR,REC-ZS4F1KCW,Maison,Maison avec vue dégagée à Toulouse,Toulouse,31000,2026-01-18,390439 €,215,8,,,,,True,,0221170635,,,,,"Maison atypique de 215 m² situé à Toulouse. Cave et parking inclus. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,,,True,,F,,,,,,,
0fe6b3d1-3568-4f26-9a5c-e19dcc187c87,AN-MFSO93SG,REC-ZS4F1KCW,Maison,Maison avec vue dégagée à Toulouse,Toulouse,31000,23 août 2026,403822,281,8,,,43.619873,1.465663,True,Julie Bernard,,True,,0,,"Maison charmant de 281 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,,,,,,,,,,,
5fa7b214-2ad2-4e26-beee-2c67d6212523,AN-QDWAD0GN,REC-ZS4F1KCW,Maison,Maison avec vue dégagée à Toulouse,Toulouse,31000,2026-01-02,246015,291,10,True,37 boulevard Gambetta,43.597875,1.459222,True,,0377256394,,,,,"Maison charmant de 291 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",True,True,ImmoPlus,False,,C,,contact71@example.com,,,,,
dccea53b-4533-428b-ba18-6f2abe21bb71,AN-426B8V03,REC-ZS4F1KCW,Maison,Maison spacieux à Toulouse,Toulouse,31000,2024-09-15T17:57:10,347343,167,10,False,99 boulevard Gambetta,,,True,Marc Faure,,,,,,"Maison charmant de 167 m² situé à Toulouse. Proche de toutes commodités, transports et écoles. À visiter sans tarder.",,True,,,,G,,,,,,,
1c1751c6-84a0-4441-ae8a-1192f5fea0e2,AN-ZNQZ5ZC1,REC-ZS4F1KCW,Maison,Maison spacieux à Toulouse,Toulouse,31000,2024-12-17,294202,167,6,,50 rue Pasteur,43.639617,1.425334,True,Nadia Martin,0783848270,True,246.48,,3,,True,True,Century Habitat,,,,,nadia.martin92@example.com,,,,,
